time,EVT_TYPE,sym,tradePrice
00:00.1,MarketPrice,GCQ8,1249.8
00:00.4,MarketPrice,PLV8,853.7
00:00.4,MarketPrice,PLV8,853.6
00:00.4,MarketPrice,PLV8,853.5
00:00.6,MarketPrice,GCQ8,1249.8
00:00.6,MarketPrice,GCQ8,1249.8
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.1,MarketPrice,GCQ8,1249.9
00:03.8,MarketPrice,GCQ8,1249.9
00:03.8,MarketPrice,GCQ8,1249.9
00:03.8,MarketPrice,GCQ8,1249.9
00:06.2,MarketPrice,GCQ8,1249.9
00:06.2,MarketPrice,GCQ8,1249.9
00:06.2,MarketPrice,GCQ8,1249.9
00:06.3,MarketPrice,GCQ8,1249.9
00:12.1,MarketPrice,PLV8,853.6
00:13.0,MarketPrice,GCQ8,1249.9
00:13.0,MarketPrice,GCQ8,1249.9
00:23.2,MarketPrice,GCQ8,1250
00:24.6,MarketPrice,GCQ8,1250
00:24.6,MarketPrice,GCQ8,1250
00:24.9,MarketPrice,GCQ8,1250
00:24.9,MarketPrice,GCQ8,1250
00:36.9,MarketPrice,GCQ8,1250
00:36.9,MarketPrice,PLV8,853.6
00:40.4,MarketPrice,GCQ8,1249.9
00:43.3,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.0,MarketPrice,GCQ8,1250
00:45.2,MarketPrice,GCQ8,1249.9
00:46.2,MarketPrice,GCQ8,1249.9
00:46.3,MarketPrice,GCQ8,1249.9
00:49.8,MarketPrice,PLV8,853.5
00:50.0,MarketPrice,GCQ8,1249.9
00:53.0,MarketPrice,GCQ8,1249.9
00:54.1,MarketPrice,PLV8,853.5
00:55.3,MarketPrice,GCQ8,1249.9
00:58.5,MarketPrice,PLV8,853.4
01:01.1,MarketPrice,GCQ8,1249.9
01:03.6,MarketPrice,GCQ8,1249.8
01:03.6,MarketPrice,GCQ8,1249.8
01:05.8,MarketPrice,GCQ8,1249.8
01:05.8,MarketPrice,GCQ8,1249.8
01:05.8,MarketPrice,GCQ8,1249.8
01:05.8,MarketPrice,GCQ8,1249.8
01:09.9,MarketPrice,GCQ8,1249.8
01:11.1,MarketPrice,GCQ8,1249.8
01:19.7,MarketPrice,GCQ8,1249.8
